title,price,cpu,ram,graphic,SSD,resolution
โน๊ตบุ๊ค Asus ROG Zephyrus G16 GU605MI-QR225WF Gaming Notebook,"฿94,990",Intel Core Ultra 9 185H,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz OLED"
โน๊ตบุ๊ค Asus ROG Strix G16 G614JVR-N4051W Gaming Notebook,"฿69,990",Intel Core i9-14900HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Asus TUF A15 FA506NF-HN005W Gaming Notebook,"฿21,990",AMD Ryzen 5 7535HS,8GB DDR5,NVIDIA GeForce RTX 2050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LEGION 5 16IRX9-83DG0053TA Gaming Notebook,"฿51,990",Intel Core i5-13450HX,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"2560 x 1600 16"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 15ARP9-83JC003NTA Gaming Notebook,"฿34,990",AMD Ryzen 7 7435HS,24GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 15IRX9-83DV00LFTA Gaming Notebook,"฿39,990",Intel Core i7-13650HX,24GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Asus TUF A15 FA506NCR-HN007W Gaming Notebook,"฿26,990",AMD Ryzen 7 7435HS,8GB DDR5,NVIDIA GeForce RTX 3050 Laptop,512GB,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Asus TUF F15 FX507ZC4-HN060W Gaming Notebook,"฿32,990",Intel Core i7-12700H,8GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Asus TUF F15 FX507VU-LP141W Gaming Notebook,"฿37,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo LOQ 15ARP9 83JC003PTA Gaming Notebook,"฿38,990",AMD Ryzen 7 7435HS,24GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz"
โน๊ตบุ๊ค Acer Nitro 16 AN16-43-R96D Notebook,"฿48,990",AMD Ryzen 7 8845HS,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"2560 x 1600 16"" 165Hz IPS"
โน๊ตบุ๊ค Acer Nitro 16 AN16-43-R02C Notebook,"฿42,490",AMD Ryzen 7 8845HS,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,512GB SSD,"2560 x 1600 16"" 165Hz IPS"
โน๊ตบุ๊ค Asus TUF F17 FX707ZC4-HX080W Gaming Notebook,"฿32,990",Intel Core i5-12500H,16GB DDR4,NVIDIA GeForce RTX 3050 Laptop,512GB SSD,"1920 x 1080 (Full HD) 17.3"" 144Hz IPS"
โน๊ตบุ๊ค Gigabyte G5 KF5-H3TH393KH Gaming Notebook,"฿35,990",Intel Core i7-13620H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,512GB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Gigabyte G6X 9MG-42TH854SH Gaming Notebook,"฿35,990",Intel Core i7-13650HX,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,1TB SSD,"1920 x 1200 16"" 165Hz IPS"
โน๊ตบุ๊ค Dell Alienware M16 R2 CANM162CTO01GTH Gaming Notebook,"฿82,990",Intel Core Ultra 7 155H,32GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz"
โน๊ตบุ๊ค Lenovo Legion Pro 5 16IRX9-83DF007UTA Gaming Notebook,"฿75,990",Intel Core i9-14900HX,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Lenovo Legion Pro 7 16IRX9H-83DE003JTA Gaming Notebook,"฿114,990",Intel Core i9-14900HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,2TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค HP Victus 15-fb2022AX Gaming Notebook,"฿37,990",AMD Ryzen 7 8840H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค HP Victus 15-fb2023AX Gaming Notebook,"฿34,990",AMD Ryzen 7 8840H,16GB DDR5,NVIDIA GeForce RTX 4050 Laptop,1TB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
โน๊ตบุ๊ค Lenovo Legion Pro 5 16IRX9-83DF007UTA Gaming Notebook,"฿75,990",Intel Core i9-14900HX,32GB DDR5,NVIDIA GeForce RTX 4070 Laptop,1TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค Lenovo Legion Pro 7 16IRX9H-83DE003JTA Gaming Notebook,"฿114,990",Intel Core i9-14900HX,32GB DDR5,NVIDIA GeForce RTX 4080 Laptop,2TB SSD,"2560 x 1600 16"" 240Hz IPS"
โน๊ตบุ๊ค HP Victus 15-fb2022AX Gaming Notebook,"฿37,990",AMD Ryzen 7 8840H,16GB DDR5,NVIDIA GeForce RTX 4060 Laptop,1TB SSD,"1920 x 1080 (Full HD) 15.6"" 144Hz IPS"
